nohup: ignoring input
(128, 128, 128)
['Mean', 'Std']
[ 1.5051472  1.6262238  2.3319495 ... 84.5323    83.30754   82.092224 ]
[2.9573436 3.2315547 3.5197277 ... 1.6526191 1.3501669 1.16584  ]
cuda
Training started
 17%|█▋        | 51/301 [18:55<1:32:15, 22.14s/it]Epoch 51 | Loss: 0.000001 | LR: 0.000026
 17%|█▋        | 52/301 [19:17<1:31:41, 22.09s/it]Epoch 52 | Loss: 0.000012 | LR: 0.000026
 18%|█▊        | 53/301 [19:39<1:31:00, 22.02s/it]Epoch 53 | Loss: 0.000001 | LR: 0.000026
 18%|█▊        | 54/301 [20:01<1:30:49, 22.06s/it]Epoch 54 | Loss: 0.000002 | LR: 0.000026
 18%|█▊        | 55/301 [20:22<1:30:05, 21.97s/it]Epoch 55 | Loss: 0.000002 | LR: 0.000026
 19%|█▊        | 56/301 [20:45<1:29:52, 22.01s/it]Epoch 56 | Loss: 0.000002 | LR: 0.000026
 19%|█▉        | 57/301 [21:07<1:29:34, 22.03s/it]Epoch 57 | Loss: 0.000002 | LR: 0.000026
 19%|█▉        | 58/301 [21:29<1:29:24, 22.07s/it]Epoch 58 | Loss: 0.000002 | LR: 0.000026
 20%|█▉        | 59/301 [21:51<1:29:21, 22.16s/it]Epoch 59 | Loss: 0.000002 | LR: 0.000020
 20%|█▉        | 60/301 [22:13<1:28:42, 22.09s/it]Epoch 60 | Loss: 0.000001 | LR: 0.000020
 20%|██        | 61/301 [22:35<1:28:02, 22.01s/it]Epoch 61 | Loss: 0.000005 | LR: 0.000020
 21%|██        | 62/301 [22:57<1:27:15, 21.91s/it]Epoch 62 | Loss: 0.000000 | LR: 0.000020
 21%|██        | 63/301 [23:18<1:26:50, 21.89s/it]Epoch 63 | Loss: 0.000001 | LR: 0.000020
 21%|██▏       | 64/301 [23:41<1:27:13, 22.08s/it]Epoch 64 | Loss: 0.000001 | LR: 0.000020
 22%|██▏       | 65/301 [24:03<1:27:11, 22.17s/it]Epoch 65 | Loss: 0.000001 | LR: 0.000020
 22%|██▏       | 66/301 [24:25<1:26:48, 22.17s/it]Epoch 66 | Loss: 0.000001 | LR: 0.000020
 22%|██▏       | 67/301 [24:47<1:26:11, 22.10s/it]Epoch 67 | Loss: 0.000001 | LR: 0.000020
 23%|██▎       | 68/301 [25:10<1:26:10, 22.19s/it]Epoch 68 | Loss: 0.000001 | LR: 0.000020
 23%|██▎       | 69/301 [25:32<1:25:54, 22.22s/it]Epoch 69 | Loss: 0.000001 | LR: 0.000020
 23%|██▎       | 70/301 [25:54<1:25:32, 22.22s/it]Epoch 70 | Loss: 0.000001 | LR: 0.000020
 24%|██▎       | 71/301 [26:17<1:25:24, 22.28s/it]Epoch 71 | Loss: 0.000004 | LR: 0.000020
 24%|██▍       | 72/301 [26:39<1:25:02, 22.28s/it]Epoch 72 | Loss: 0.000002 | LR: 0.000020
 24%|██▍       | 73/301 [27:02<1:24:59, 22.37s/it]Epoch 73 | Loss: 0.000001 | LR: 0.000020
 25%|██▍       | 74/301 [27:24<1:24:48, 22.42s/it]Epoch 74 | Loss: 0.000001 | LR: 0.000016
 25%|██▍       | 75/301 [27:47<1:24:29, 22.43s/it]Epoch 75 | Loss: 0.000001 | LR: 0.000016
 25%|██▌       | 76/301 [28:09<1:24:09, 22.44s/it]Epoch 76 | Loss: 0.000001 | LR: 0.000016
 26%|██▌       | 77/301 [28:32<1:23:49, 22.45s/it]Epoch 77 | Loss: 0.000001 | LR: 0.000016
 26%|██▌       | 78/301 [28:54<1:23:21, 22.43s/it]Epoch 78 | Loss: 0.000001 | LR: 0.000016
 26%|██▌       | 79/301 [29:16<1:22:43, 22.36s/it]Epoch 79 | Loss: 0.000001 | LR: 0.000016
 27%|██▋       | 80/301 [29:38<1:22:00, 22.26s/it]Epoch 80 | Loss: 0.000001 | LR: 0.000016
 27%|██▋       | 81/301 [30:00<1:21:26, 22.21s/it]Epoch 81 | Loss: 0.000001 | LR: 0.000016
 27%|██▋       | 82/301 [30:22<1:20:41, 22.11s/it]Epoch 82 | Loss: 0.000001 | LR: 0.000016
 28%|██▊       | 83/301 [30:43<1:19:30, 21.88s/it]Epoch 83 | Loss: 0.000002 | LR: 0.000016
 28%|██▊       | 84/301 [31:05<1:19:14, 21.91s/it]Epoch 84 | Loss: 0.000000 | LR: 0.000016
