with 320 neurons:
GMM_Mean0  PSNR: 55.854164
GMM_Mean1  PSNR: 55.824173
GMM_Mean2  PSNR: 55.797478
GMM_Std0  PSNR: 48.56643
GMM_Std1  PSNR: 44.18404
GMM_Std2  PSNR: 49.383934
GMM_Weight0  PSNR: 47.45533
GMM_Weight1  PSNR: 45.57885
GMM_Weight2  PSNR: 48.213287

Average psnr :  50.0953
RMSE: 0.00578992
