nohup: ignoring input
Device running: cuda
Namespace(n_neurons=200, n_layers=6, epochs=600, batchsize=512, lr=1e-05, no_decay=False, decay_rate=0.8, decay_at_interval=True, decay_interval=15, datapath='sklearn_isabel_gmm_multi.vti', outpath='./models/', exp_path='../logs/', modified_data_path='./data/', dataset_name='3d_data', vti_name='isabel_sgmm_predicted_vti', vti_path='./data/')
Variables: ['GMM_Mean0', 'GMM_Mean1', 'GMM_Mean2', 'GMM_Std0', 'GMM_Std1', 'GMM_Std2', 'GMM_Weight0', 'GMM_Weight1', 'GMM_Weight2']
Total Points: 3125000
Dataset Name: 3d_data
Total Variables: 9
Total Points in Data: 3125000
Coordinate Tensor Shape: torch.Size([3125000, 3])
Scalar Values Tensor Shape: torch.Size([3125000, 9])

###### Data setup is complete, now starting training ######

MyResidualSirenNet(
  (net_layers): ModuleList(
    (0): SineLayer(
      (linear): Linear(in_features=3, out_features=200, bias=True)
    )
    (1-6): 6 x ResidualSineLayer(
      (linear_1): Linear(in_features=200, out_features=200, bias=True)
      (linear_2): Linear(in_features=200, out_features=200, bias=True)
    )
  )
  (mean_head): Linear(in_features=200, out_features=3, bias=True)
  (std_head): Linear(in_features=200, out_features=3, bias=True)
  (weight_head): Linear(in_features=200, out_features=3, bias=True)
)
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 1e-05
    maximize: False
    weight_decay: 0
)
MSELoss()
  0%|          | 0/600 [00:00<?, ?it/s]Epoch: 1/600 | Train Loss: 0.003449 | Time: 123.59s (cuda) | LR: 1.00e-05
  0%|          | 1/600 [02:03<20:33:48, 123.59s/it]Epoch: 2/600 | Train Loss: 0.000877 | Time: 123.9s (cuda) | LR: 1.00e-05
  0%|          | 2/600 [04:07<20:33:35, 123.77s/it]Epoch: 3/600 | Train Loss: 0.000856 | Time: 124.03s (cuda) | LR: 1.00e-05
  0%|          | 3/600 [06:11<20:32:43, 123.89s/it]Epoch: 4/600 | Train Loss: 0.000848 | Time: 122.8s (cuda) | LR: 1.00e-05
  1%|          | 4/600 [08:14<20:26:23, 123.46s/it]Epoch: 5/600 | Train Loss: 0.000843 | Time: 122.96s (cuda) | LR: 1.00e-05
  1%|          | 5/600 [10:17<20:22:32, 123.28s/it]Epoch: 6/600 | Train Loss: 0.000839 | Time: 124.64s (cuda) | LR: 1.00e-05
  1%|          | 6/600 [12:21<20:25:04, 123.74s/it]Epoch: 7/600 | Train Loss: 0.000836 | Time: 122.85s (cuda) | LR: 1.00e-05
  1%|          | 7/600 [14:24<20:20:07, 123.45s/it]Epoch: 8/600 | Train Loss: 0.000833 | Time: 124.6s (cuda) | LR: 1.00e-05
  1%|▏         | 8/600 [16:29<20:21:40, 123.82s/it]Epoch: 9/600 | Train Loss: 0.000831 | Time: 134.04s (cuda) | LR: 1.00e-05
  2%|▏         | 9/600 [18:43<20:51:06, 127.02s/it]Epoch: 10/600 | Train Loss: 0.000829 | Time: 127.3s (cuda) | LR: 1.00e-05
  2%|▏         | 10/600 [20:50<20:49:51, 127.10s/it]Epoch: 11/600 | Train Loss: 0.000827 | Time: 130.58s (cuda) | LR: 1.00e-05
  2%|▏         | 11/600 [23:01<20:58:11, 128.17s/it]Epoch: 12/600 | Train Loss: 0.000825 | Time: 127.52s (cuda) | LR: 1.00e-05
  2%|▏         | 12/600 [25:08<20:54:08, 127.97s/it]Epoch: 13/600 | Train Loss: 0.000823 | Time: 134.9s (cuda) | LR: 1.00e-05
  2%|▏         | 13/600 [27:23<21:12:32, 130.07s/it]Epoch: 14/600 | Train Loss: 0.000822 | Time: 125.57s (cuda) | LR: 1.00e-05
  2%|▏         | 14/600 [29:29<20:57:05, 128.71s/it]Epoch: 15/600 | Train Loss: 0.000821 | Time: 131.97s (cuda) | LR: 1.00e-05
  2%|▎         | 15/600 [31:41<21:04:31, 129.69s/it]Epoch: 16/600 | Train Loss: 0.000819 | Time: 132.17s (cuda) | LR: 8.00e-06
  3%|▎         | 16/600 [33:53<21:09:36, 130.44s/it]Epoch: 17/600 | Train Loss: 0.000814 | Time: 128.57s (cuda) | LR: 8.00e-06
  3%|▎         | 17/600 [36:02<21:01:58, 129.88s/it]Epoch: 18/600 | Train Loss: 0.000813 | Time: 132.58s (cuda) | LR: 8.00e-06
  3%|▎         | 18/600 [38:14<21:07:41, 130.69s/it]Epoch: 19/600 | Train Loss: 0.000811 | Time: 129.01s (cuda) | LR: 8.00e-06
  3%|▎         | 19/600 [40:23<21:00:38, 130.19s/it]Epoch: 20/600 | Train Loss: 0.000811 | Time: 132.65s (cuda) | LR: 8.00e-06
  3%|▎         | 20/600 [42:36<21:05:37, 130.93s/it]Epoch: 21/600 | Train Loss: 0.000809 | Time: 126.73s (cuda) | LR: 8.00e-06
  4%|▎         | 21/600 [44:43<20:51:18, 129.67s/it]Epoch: 22/600 | Train Loss: 0.000809 | Time: 131.92s (cuda) | LR: 8.00e-06
  4%|▎         | 22/600 [46:54<20:55:39, 130.35s/it]Epoch: 23/600 | Train Loss: 0.000808 | Time: 126.74s (cuda) | LR: 8.00e-06
