Epoch: 38/500 | Train Loss: 0.110982 | Time: 15.22s | LR: 1.6384000000000008e-05
Epoch: 39/500 | Train Loss: 0.110863 | Time: 15.74s | LR: 1.6384000000000008e-05
Epoch: 40/500 | Train Loss: 0.110879 | Time: 15.21s | LR: 1.3107200000000007e-05
Epoch: 41/500 | Train Loss: 0.110464 | Time: 15.42s | LR: 1.3107200000000007e-05
Epoch: 42/500 | Train Loss: 0.110405 | Time: 16.64s | LR: 1.3107200000000007e-05
Epoch: 43/500 | Train Loss: 0.110298 | Time: 15.15s | LR: 1.3107200000000007e-05
Epoch: 44/500 | Train Loss: 0.110244 | Time: 14.75s | LR: 1.3107200000000007e-05
Epoch: 45/500 | Train Loss: 0.110115 | Time: 15.37s | LR: 1.3107200000000007e-05
Epoch: 46/500 | Train Loss: 0.109990 | Time: 15.33s | LR: 1.0485760000000006e-05
Epoch: 47/500 | Train Loss: 0.109699 | Time: 15.09s | LR: 1.0485760000000006e-05
Epoch: 48/500 | Train Loss: 0.109562 | Time: 15.18s | LR: 1.0485760000000006e-05
Epoch: 49/500 | Train Loss: 0.109459 | Time: 15.47s | LR: 1.0485760000000006e-05
Epoch: 50/500 | Train Loss: 0.109382 | Time: 14.5s | LR: 1.0485760000000006e-05
Epoch: 51/500 | Train Loss: 0.109305 | Time: 15.4s | LR: 1.0485760000000006e-05
Epoch: 52/500 | Train Loss: 0.109218 | Time: 15.29s | LR: 1.0485760000000006e-05
Epoch: 53/500 | Train Loss: 0.109104 | Time: 16.11s | LR: 1.0485760000000006e-05
Epoch: 54/500 | Train Loss: 0.108984 | Time: 14.28s | LR: 1.0485760000000006e-05
Epoch: 55/500 | Train Loss: 0.108893 | Time: 13.91s | LR: 1.0485760000000006e-05
Epoch: 56/500 | Train Loss: 0.108792 | Time: 16.41s | LR: 1.0485760000000006e-05
Epoch: 57/500 | Train Loss: 0.108689 | Time: 15.57s | LR: 1.0485760000000006e-05
Epoch: 58/500 | Train Loss: 0.108560 | Time: 15.56s | LR: 1.0485760000000006e-05
Epoch: 59/500 | Train Loss: 0.108473 | Time: 14.26s | LR: 1.0485760000000006e-05
Epoch: 60/500 | Train Loss: 0.108388 | Time: 14.4s | LR: 1.0485760000000006e-05
Epoch: 61/500 | Train Loss: 0.108248 | Time: 13.96s | LR: 8.388608000000005e-06
Epoch: 62/500 | Train Loss: 0.107937 | Time: 14.21s | LR: 8.388608000000005e-06
Epoch: 63/500 | Train Loss: 0.107749 | Time: 14.69s | LR: 8.388608000000005e-06
Epoch: 64/500 | Train Loss: 0.107672 | Time: 15.66s | LR: 8.388608000000005e-06
Epoch: 65/500 | Train Loss: 0.107592 | Time: 15.14s | LR: 8.388608000000005e-06
Epoch: 66/500 | Train Loss: 0.107518 | Time: 15.69s | LR: 8.388608000000005e-06
Epoch: 67/500 | Train Loss: 0.107382 | Time: 15.25s | LR: 8.388608000000005e-06
Epoch: 68/500 | Train Loss: 0.107302 | Time: 15.46s | LR: 8.388608000000005e-06
Epoch: 69/500 | Train Loss: 0.107195 | Time: 15.61s | LR: 8.388608000000005e-06
Epoch: 70/500 | Train Loss: 0.107096 | Time: 15.44s | LR: 8.388608000000005e-06
Epoch: 71/500 | Train Loss: 0.107048 | Time: 15.0s | LR: 8.388608000000005e-06
Epoch: 72/500 | Train Loss: 0.106910 | Time: 15.47s | LR: 8.388608000000005e-06
Epoch: 73/500 | Train Loss: 0.106852 | Time: 14.06s | LR: 8.388608000000005e-06
Epoch: 74/500 | Train Loss: 0.106758 | Time: 14.55s | LR: 8.388608000000005e-06
Epoch: 75/500 | Train Loss: 0.106654 | Time: 14.15s | LR: 8.388608000000005e-06
Epoch: 76/500 | Train Loss: 0.106579 | Time: 14.82s | LR: 6.7108864000000044e-06
Epoch: 77/500 | Train Loss: 0.106189 | Time: 15.51s | LR: 6.7108864000000044e-06
Epoch: 78/500 | Train Loss: 0.106099 | Time: 15.3s | LR: 6.7108864000000044e-06
Epoch: 79/500 | Train Loss: 0.106009 | Time: 16.09s | LR: 6.7108864000000044e-06
