Epoch: 37/1000 | Train Loss: 0.000928 | Time: 14.76s | LR: 1.9660800000000003e-05
Epoch: 38/1000 | Train Loss: 0.000926 | Time: 14.21s | LR: 1.9660800000000003e-05
Epoch: 39/1000 | Train Loss: 0.000924 | Time: 14.5s | LR: 1.9660800000000003e-05
Epoch: 40/1000 | Train Loss: 0.000924 | Time: 14.84s | LR: 1.5728640000000003e-05
Epoch: 41/1000 | Train Loss: 0.000917 | Time: 14.09s | LR: 1.5728640000000003e-05
Epoch: 42/1000 | Train Loss: 0.000917 | Time: 13.2s | LR: 1.2582912000000004e-05
Epoch: 43/1000 | Train Loss: 0.000910 | Time: 13.91s | LR: 1.2582912000000004e-05
Epoch: 44/1000 | Train Loss: 0.000910 | Time: 14.39s | LR: 1.2582912000000004e-05
Epoch: 45/1000 | Train Loss: 0.000909 | Time: 13.98s | LR: 1.2582912000000004e-05
Epoch: 46/1000 | Train Loss: 0.000908 | Time: 14.03s | LR: 1.2582912000000004e-05
Epoch: 47/1000 | Train Loss: 0.000908 | Time: 14.1s | LR: 1.0066329600000005e-05
Epoch: 48/1000 | Train Loss: 0.000901 | Time: 14.88s | LR: 1.0066329600000005e-05
Epoch: 49/1000 | Train Loss: 0.000901 | Time: 14.31s | LR: 8.053063680000005e-06
Epoch: 50/1000 | Train Loss: 0.000896 | Time: 16.03s | LR: 8.053063680000005e-06
Epoch: 51/1000 | Train Loss: 0.000895 | Time: 14.05s | LR: 8.053063680000005e-06
Epoch: 52/1000 | Train Loss: 0.000895 | Time: 13.43s | LR: 6.442450944000004e-06
Epoch: 53/1000 | Train Loss: 0.000891 | Time: 13.93s | LR: 5.153960755200003e-06
Epoch: 54/1000 | Train Loss: 0.000887 | Time: 14.47s | LR: 5.153960755200003e-06
Epoch: 55/1000 | Train Loss: 0.000886 | Time: 14.14s | LR: 5.153960755200003e-06
Epoch: 56/1000 | Train Loss: 0.000885 | Time: 14.12s | LR: 5.153960755200003e-06
Epoch: 57/1000 | Train Loss: 0.000885 | Time: 13.94s | LR: 5.153960755200003e-06
Epoch: 58/1000 | Train Loss: 0.000884 | Time: 13.62s | LR: 5.153960755200003e-06
