nohup: ignoring input
Epoch 1/100 | Step 9500/11397 | G=34.720, D=0.520
Epoch 1/100 | Step 9600/11397 | G=34.685, D=0.520
Epoch 1/100 | Step 9700/11397 | G=34.659, D=0.520
Epoch 1/100 | Step 9800/11397 | G=34.629, D=0.520
Epoch 1/100 | Step 9900/11397 | G=34.603, D=0.520
Epoch 1/100 | Step 10000/11397 | G=34.570, D=0.521
Epoch 1/100 | Step 10100/11397 | G=34.529, D=0.521
Epoch 1/100 | Step 10200/11397 | G=34.494, D=0.521
Epoch 1/100 | Step 10300/11397 | G=34.462, D=0.521
Epoch 1/100 | Step 10400/11397 | G=34.441, D=0.521
Epoch 1/100 | Step 10500/11397 | G=34.413, D=0.522
Epoch 1/100 | Step 10600/11397 | G=34.378, D=0.522
Epoch 1/100 | Step 10700/11397 | G=34.350, D=0.522
Epoch 1/100 | Step 10800/11397 | G=34.321, D=0.522
Epoch 1/100 | Step 10900/11397 | G=34.295, D=0.522
Epoch 1/100 | Step 11000/11397 | G=34.267, D=0.522
Epoch 1/100 | Step 11100/11397 | G=34.239, D=0.522
Epoch 1/100 | Step 11200/11397 | G=34.214, D=0.522
Epoch 1/100 | Step 11300/11397 | G=34.188, D=0.523
Epoch [1/100] | Gen Loss: 34.1633, Disc Loss: 0.5227 | Val PSNR: 13.14, Val SSIM: 0.3888
? Saved new best generator (SSIM 0.3888)
Epoch 2/100 | Step 100/11397 | G=30.687, D=0.537
Epoch 2/100 | Step 200/11397 | G=30.174, D=0.532
Epoch 2/100 | Step 300/11397 | G=30.489, D=0.531
Epoch 2/100 | Step 400/11397 | G=30.452, D=0.531
Epoch 2/100 | Step 500/11397 | G=30.321, D=0.534
Epoch 2/100 | Step 600/11397 | G=30.270, D=0.536
Epoch 2/100 | Step 700/11397 | G=30.367, D=0.536
Epoch 2/100 | Step 800/11397 | G=30.368, D=0.538
Epoch 2/100 | Step 900/11397 | G=30.395, D=0.538
Epoch 2/100 | Step 1000/11397 | G=30.437, D=0.537
Epoch 2/100 | Step 1100/11397 | G=30.436, D=0.537
Epoch 2/100 | Step 1200/11397 | G=30.449, D=0.536
Epoch 2/100 | Step 1300/11397 | G=30.454, D=0.537
Epoch 2/100 | Step 1400/11397 | G=30.489, D=0.536
Epoch 2/100 | Step 1500/11397 | G=30.478, D=0.538
Epoch 2/100 | Step 1600/11397 | G=30.454, D=0.538
Epoch 2/100 | Step 1700/11397 | G=30.436, D=0.538
Epoch 2/100 | Step 1800/11397 | G=30.459, D=0.538
